graph_id,n,total_actions,total_transitions,algorithm,runtime_ms,iterations,converged,success,avg_value
medium_n50_s2_a3_case13_seed55,50,147,282,pi,0.069912,4,1,1,26.528415
medium_n50_s2_a3_case13_seed55,50,147,282,dijkstra,0.023835,50,1,1,26.528415
medium_n50_s2_a3_case14_seed56,50,147,282,vi,0.019587,7,1,1,21.623567
medium_n50_s2_a3_case14_seed56,50,147,282,pi,0.069982,4,1,1,21.623567
medium_n50_s2_a3_case14_seed56,50,147,282,dijkstra,0.025138,50,1,1,21.623567
medium_n50_s2_a3_case15_seed57,50,147,282,vi,0.018885,8,1,1,27.133523
medium_n50_s2_a3_case15_seed57,50,147,282,pi,0.087856,5,1,1,27.133523
medium_n50_s2_a3_case15_seed57,50,147,282,dijkstra,0.022843,50,1,1,27.133523
medium_n50_s2_a3_case16_seed58,50,147,282,vi,0.018014,7,1,1,28.167054
medium_n50_s2_a3_case16_seed58,50,147,282,pi,0.085562,5,1,1,28.167054
medium_n50_s2_a3_case16_seed58,50,147,282,dijkstra,0.023344,50,1,1,28.167054
medium_n50_s2_a3_case17_seed59,50,147,282,vi,0.018766,7,1,1,22.952255
medium_n50_s2_a3_case17_seed59,50,147,282,pi,0.070874,4,1,1,22.952255
medium_n50_s2_a3_case17_seed59,50,147,282,dijkstra,0.025679,50,1,1,22.952255
medium_n50_s2_a3_case18_seed60,50,147,282,vi,0.017985,7,1,1,26.642400
medium_n50_s2_a3_case18_seed60,50,147,282,pi,0.070082,4,1,1,26.642400
medium_n50_s2_a3_case18_seed60,50,147,282,dijkstra,0.023344,50,1,1,26.642400
medium_n50_s2_a3_case19_seed61,50,147,282,vi,0.018845,8,1,1,19.282831
medium_n50_s2_a3_case19_seed61,50,147,282,pi,0.070362,4,1,1,19.282831
medium_n50_s2_a3_case19_seed61,50,147,282,dijkstra,0.024486,50,1,1,19.282831
medium_n50_s2_a3_case1_seed43,50,147,282,vi,0.018074,7,1,1,24.480374
medium_n50_s2_a3_case1_seed43,50,147,282,pi,0.070563,4,1,1,24.480374
medium_n50_s2_a3_case1_seed43,50,147,282,dijkstra,0.023805,50,1,1,24.480374
medium_n50_s2_a3_case2_seed44,50,147,282,vi,0.018144,7,1,1,24.569652
medium_n50_s2_a3_case2_seed44,50,147,282,pi,0.087375,5,1,1,24.569652
medium_n50_s2_a3_case2_seed44,50,147,282,dijkstra,0.023234,50,1,1,24.569652
medium_n50_s2_a3_case3_seed45,50,147,282,vi,0.018044,7,1,1,29.249100
medium_n50_s2_a3_case3_seed45,50,147,282,pi,0.087385,5,1,1,29.249100
medium_n50_s2_a3_case3_seed45,50,147,282,dijkstra,0.024265,50,1,1,29.249100
medium_n50_s2_a3_case4_seed46,50,147,282,vi,0.017733,7,1,1,26.877075
medium_n50_s2_a3_case4_seed46,50,147,282,pi,0.071014,4,1,1,26.877075
medium_n50_s2_a3_case4_seed46,50,147,282,dijkstra,0.024797,50,1,1,26.877075
medium_n50_s2_a3_case5_seed47,50,147,282,vi,0.018716,8,1,1,24.840605
medium_n50_s2_a3_case5_seed47,50,147,282,pi,0.112231,6,1,1,24.840605
medium_n50_s2_a3_case5_seed47,50,147,282,dijkstra,0.024126,50,1,1,24.840605
medium_n50_s2_a3_case6_seed48,50,147,282,vi,0.017333,7,1,1,26.102348
medium_n50_s2_a3_case6_seed48,50,147,282,pi,0.052920,3,1,1,26.102348
medium_n50_s2_a3_case6_seed48,50,147,282,dijkstra,0.024716,50,1,1,26.102348
medium_n50_s2_a3_case7_seed49,50,147,282,vi,0.018806,8,1,1,26.947456
medium_n50_s2_a3_case7_seed49,50,147,282,pi,0.066455,4,1,1,26.947456
medium_n50_s2_a3_case7_seed49,50,147,282,dijkstra,0.023003,50,1,1,26.947456
medium_n50_s2_a3_case8_seed50,50,147,282,vi,0.017914,7,1,1,24.160696
medium_n50_s2_a3_case8_seed50,50,147,282,pi,0.068520,4,1,1,24.160696
medium_n50_s2_a3_case8_seed50,50,147,282,dijkstra,0.023244,50,1,1,24.160696
medium_n50_s2_a3_case9_seed51,50,147,282,vi,0.017533,7,1,1,24.286205
medium_n50_s2_a3_case9_seed51,50,147,282,pi,0.070774,4,1,1,24.286205
medium_n50_s2_a3_case9_seed51,50,147,282,dijkstra,0.025027,50,1,1,24.286205
